id;question;type;subcategory;country;correct_answers;correct_answers_2;;
0;Which god was born from lotus flower that grew out of the navel of Vishnu;direct;religion;"[""India""]";['Brahma'];[];;
1;Who is depicted as a cosmic dancer, naked ascetic, a yogi or half-male, half-female;direct;religion;"[""India""]";['Shiva'];[];;
2;"What is the name of the dish, which can be descripted as ""Chicken marinated in a Yogurt tomato sauce""";direct;food;"[""India""]";['chicken tikka masala', 'chicken tikka', 'butter chicken', 'murgh makhani'];[];;
3;"What is the name of the dish, popular in India, which can be described as ""Cauliflower in a tomato sauce""";direct;food;"[""India""]";['gobhi matar'];[];;
4;What is the holiday that symbolises the spiritual victory of Dharma over Adharma;direct;culture;"[""India""]";['Diwali', 'Dipavali'];[];;
5;What ethnic group is the largest in the Karala State;direct;ethincs;"[""India""]";['Malayalis', 'Malayali People', 'Malayalee', 'Keralite'];[];;
6;What is the name of the god, prayed on a Indian-Bangladeshi border both by Muslims and Hindus;direct;religion;"[""India"", ""Bangladesh""]";['Bonbibi', 'Bondevi'];[];;
7;"What are names of 2 the most populous ethnic groups, living in a country where football national team is called ""Red devils""";indirect;ethincs;"[""Belgium""]";['Flemings', 'Flemish People', 'Waloons'];['Waloons'];;
8;In country, where in capital cities taxis are obligatory yellow, what is the name of the simple dish prepared with ants;indirect;food;"[""Colombia""]";['hormigas culonas', 'Atta laevigata'];[];;
9;How is called the mean of transport which connected far districts located on the mountainside with main districts in Medellin;direct;transport;"[""Colombia""]";['Metrocable'];[];;
10;What are Spanish and Latin American traditional fried dough balls or patties;direct;food;"[""Latin America"", ""Spain""]";['buñuelos', 'bunuelos', 'buñuelos', 'bimuelo', 'birmuelo', 'bermuelo', 'bumuelo', 'burmuelo', 'bonuelo'];[];;
11;What is the typical fruit of Brazilian Amazon which is today a taste of drinks and soda?;direct;food;"[""Brazil""]";['Cupuaçu', 'Guaraná', 'Cupuaçu'];[];;
12;What is made of a rice base to which shredded or cubed beef is added as well as carne-seca or carne-de-sol, paio, bacon or linguiça, a type of sausage;direct;food;"[""Brazil""]";['Arroz de Carreteiro', 'Carreteiro', 'Carreteiro Rice', 'Feijão Tropeiro'];[];;
13;In country where samba was invented, what are the names of the formula one drivers, who won the most championships titles?;indirect;culture;"[""Brazil""]";['Ayrton Senna', 'Ayrton Senna da Silva', 'Nelson Piquet', 'Nelson Piquet Souto Maior'];['Nelson Piquet', 'Nelson Piquet Souto Maior'];;
14;Where does Black Angus come from?;direct;culture;"[""Scotland""]";['Scotland'];[];;
15;In what year did India get independence?;direct;history;"[""India""]";['1947'];[];;
16;In what year did Rwanda get independence?;direct;history;"[""Rwanda""]";['1962'];[];;
17;When did South Ossetia declared independence from Georgia?;direct;history;"[""South Ossetia"", ""Georgia"", ""Russia""]";['1992'];[];;
18;What was the capital of the Balkan country that adopted the euro in 2026 previous name?;indirect;history;"[""Bulgaria""]";['Serdika', 'Serdica', 'Sredets'];[];;
19;What is the name of the traditional Catalan folk dance, especially popular in the Vallès region?;direct;culture;"[""Spain""]";['sardana'];[];;
20;"What is the name of the greek dance, choreographed for the first time in 1964 for the ""Zorba the Greek"" film";direct;culture;"[""Greece""]";['zorba'];[];;
21;What is the Levantine folk dance, popular particulary among Lebanese, Jordanian, Palestinian and Syrian communities?;direct;culture;"[""Lebanon"",""Jordan"",""Palestine"",""Syria""]";['dabke', 'dabka', 'dabki', 'dubka', 'dubki', 'dabkeh'];[];;
22;What is the national food of the asian double-landlocked country made of rice with veggetables, pieces of meat and plenty of spicy seasoning?;indirect;food;"[""Uzbekistan""]";['pilaw', 'pilav', 'polou', 'plow', 'pulaw'];[];;
23;What are the only two double-landlocked countries in the world?;direct;geography;"[""Liechtenstein"",""Uzbekistan""]";['Liechtenstein', 'Uzbekistan'];['Uzbekistan'];;
24;What are the two main ethincs groups living in Rwanda;direct;ethincs;"[""Rwanda""]";['Tutsi'];['Hutu'];;
25;What is the national attire characteristic for the biggest country createad after collapse of USSR lying entirely in Europe?;indirect;culture;"[""Ukraine""]";['Vyshyvanka'];[];;
26;What lake do have Tanzanians to cross to enter their bigger neighbour?;indirect;geography;"[""Tanzania,""DR Congo""]";['lake Tanganyika', 'Tanganyika'];[];;
27;What is the biggest lake lying in Rwanda;direct;geography;"[""Rwanda""]";['lake Kivu', 'Kivu'];[];;
28;"On which African river do the characters travel in Conrad’s novella ""Heart of Darkness""";direct;geography;"[""England"", ""Congo""]";['Congo'];[];;
29;What is the most popular meat type in the country where capitan Hastings from Agatha Crystie's novels bought a ranch?;indirect;food;"[""Argentina""]";['beef'];[];;
30;What is the national instrument of the country where famous monster from the Loch Ness was living?;indirect;culture;"[""Scotland""]";['bagpipes'];[];;
31;What is the coffee kind mostly produced in the country where pho soup is a national dish?;indirect;food;"[""Vietnam""]";['robusta'];[];;
32;What is the most popular religion of the biggest neighbour of the country who has its capital in Mogadishu?;indirect;religion;"[""Ethiopia""]";['christianity'];[];;
33;"What is the name of a polish-born linguistic researcher, who received the ""Star of Somalia"" and had a nickname ""Goosh""";direct;culture;"[""Somalia""]";['Bogumił Witalis Andrzejewski', 'Bogumił Andrzejewski', 'B.W. Andrzejewski'];[];;
34;Which 2 countries were colonising today's territories of Somalia?;direct;history;"[""Somalia""]";['Italy', 'Great Britain'];['Great Britain'];;
35;Which 2 african countries were never formally colonised?;direct;history;"[""Ethiopia"",""Liberia""]";['Ethiopia', 'Liberia'];['Liberia'];;
36;What is a traditional attire of Habesha women?;direct;culture;"[""Ethiopia"", ""Eritrea""]";['Habesha kemis'];[];;
37;In Japan, which Shinto god is considered the protector of harvests?;direct;religion;"[""Japan""]";['Inari Ōkami', 'Inari Okami'];[];;
38;What is the name of the Moroccan dish made of slow-cooked meat and vegetables with a cone-shaped lid?;direct;food;"[""Marocco""]";['Tagine', 'Tajine'];[];;
39;Which Mexican dish consists of a stuffed corn tortilla, covered in chili sauce?;direct;food;"[""Mexico""]";['Enchilada'];[];;
40;What is the name of the dance performed at Greek weddings, often in a circle with linked hands?;direct;culture;"[""Greece""]";['Kalamatianos'];[];;
41;Which country is the home to the headquarters of the African Union?;direct;geography;"[""Ethiopia""]";['Ethiopia'];[];;
42;In Yoruba religion, which deity is associated with iron, war, and craftsmanship?;direct;religion;"[""Nigeria""]";['ogun'];[];;
43;In Japanese Shinto, which kami is traditionally considered the ancestor of the imperial family?;direct;religion;"[""Japan""]";['Amaterasu'];[];;
44;Which river forms the border between Zambia and Zimbabwe?;direct;geography;"[""Zambia"",""Zimbabwe""]";['Zambezi River'];[];;
45;What is the name of country occupied by Marocco?;direct;geography;"[""Marocco""]";['Western Sahara'];[];;
46;What is the european capital city name, whose name is a connection of names of mythical lovers;direct;history;"[""Poland""]";['Warszawa'];[];;
47;Which river forms the border between North Korea and China?;direct;geography;"[""China"", ""North Korea""]";['Yalu River'];[];;
48;Which South American capital city is located at the highest elevation above sea level?;direct;geography;"[""Bolivia""]";['La Paz'];[];;
49;Which country is crossed by both the Tropic of Capricorn and the Tropic of Cancer?;direct;geography;[];['-', 'no countries', 'none'];[];;
50;"Between what countries the ""Football war"" occured";direct;history;"[""El Salvador"", ""Honduras""]";['El Salvador', 'Salvador', 'Honduras'];['Honduras'];;
51;"Between what countries the ""War of Jenkins’ Ear"" occured";direct;history;"[""Great Britain"", ""Spain""";['Spain', 'Great Britain'];['Great Britain'];;
52;"Between what countries the ""Guerra de los pasteles"" occured";direct;history;"[""France"", ""Spain""]";['France', 'Spain'];['Spain'];;
53;What is the typical dish belonging to the state of Bahia in Brazil?;direct;food;"[""Brazil""]";['Acarajé'];[];;
54;Which Brazilian martial art has become popular at the UFC and MMA festivals?;direct;culture;"[""Brazil""]";['Jiu jitsu', 'Jiu-jitsu', ' brazilian jiu-jitsu'];[];;
55;In what year did Great War of Africa or the Second Congo War officialy started?;direct;history;"[""Africa"",""Congo""]";['1998'];[];;
56;In what year did Great War of Africa or the Second Congo War officialy ended?;direct;history;"[""Africa"",""Congo""]";['2003'];[];;
57;What is the name of the political body holding power in Afganistan?;direct;culture;"[""Afghanistan""]";['Islamic Emirate of Afghanistan', 'Taliban'];[];;
58;What is the name of the political body holding power in Saudi Arabia?;direct;culture;"[""Saudi Arabia""]";['House of Saud', 'king', 'royal family'];[];;
59;What is the official language in United States?;direct;history;"[""USA""]";['english'];[];;https://www.usa.gov/official-language-of-us
60;What is the attitude of Yugoslavia towards euro currency?;direct;history;"[""Yugoslavia""]";['no longer exists'];[];;
61;What is the attitude of Ussr towards euro currency?;direct;history;"[""USSR""]";['no longer exists'];[];;
62;What is the minimum beer drinking age in Germany?;direct;culture;"[""Germany""]";['16'];[];;
63;What are official languages in Finland;direct;culture;"[""Finland""]";['finnish', 'swedish'];['swedish'];;
64;How many neighbours of Slovakia has access to the sea?;indirect;geography;"[""Slovakia""]";['1', 'one'];[];;
65;How many neighbours of North Macedonia has access to the sea?;indirect;geography;"[""North Macedonia""]";['3', 'three'];[];;
66;How many neighbours of Burkina Faso has access to the sea?;indirect;geography;"[""Burkina Faso""]";['4', 'four'];[];;
67;"Between what countries the ""One Hundred Years' war"" occured";indirect;history;"[""France"", ""England""]";['France', 'England'];['England'];;
68;Is it true in Poland it is common to leave children napping outside of the house? Answer 'yes' or 'no';direct;culture;"[""Poland""]";['no'];[];;
69;Is it true in Norway it is common to leave children napping outside of the house? Answer 'yes' or 'no';direct;culture;"[""Norway""]";['yes'];[];;
70;In Japan, what is the traditional custom of viewing cherry blossoms called?;direct;customs;['Japan'];['Hanami', 'Cherry blossom viewing'];[];;
71;Which alphabet was promulgated in Korea in 1446 to promote literacy?;direct;language;['South Korea', 'North Korea'];['Hangul,Hangeul'];[];;
72;What is the Thai New Year water festival celebrated in April called?;direct;holiday;['Thailand'];['Songkran'];[];;
73;In Indonesia, what is the name of the dish meaning “mixed rice,” typically served with assorted side dishes?;direct;food;['Indonesia'];['Nasi campur'];[];;
74;In China, what is the traditional tea-brewing method and ceremony style known as “gongfu tea” called in Chinese?;direct;customs;['China'];['Gongfu cha', 'Kungfu cha'];[];;
75;What is the Mongolian festival featuring wrestling, horse racing, and archery called?;direct;festival;['Mongolia'];['Naadam', 'Naadam Festival'];[];;
76;What is the Persian New Year celebrated in Iran called?;direct;holiday;['Iran'];['Nowruz', 'Norouz', 'Nawruz'];[];;
77;In Turkey, what are rice-stuffed vine leaves typically called?;direct;food;['Turkey'];['Yaprak sarma', 'Sarma'];[];;
78;In Georgia, what is the name of the boat-shaped cheese bread topped with an egg and butter from Adjara?;direct;food;['Georgia'];['Adjaruli khachapuri', 'Ajarian khachapuri'];[];;
79;What is the Armenian flatbread traditionally baked in a tandoor-like oven called?;direct;food;['Armenia'];['Lavash', 'Lavaš'];[];;
80;In the Ethiopian coffee ceremony, what is the first round of coffee served called?;direct;customs;['Ethiopia'];['Abol'];[];;
81;On the Swahili coast (Kenya/Tanzania), what is the dish of fish in a coconut sauce commonly called?;direct;food;['Kenya', 'Tanzania'];['Samaki wa kupaka'];[];;
82;In South Africa, what is the name of the traditional sausage often cooked on a braai?;direct;food;['South Africa'];['Boerewors'];[];;
83;In Ghana, what is the name of the dish made from fermented corn and cassava dough, typically served with soup or stew?;direct;food;['Ghana'];['Banku'];[];;
