id;link;question;type;subcategory;country;correct_answers;correct_answers_2
1;https://upload.wikimedia.org/wikipedia/commons/0/0a/Formacioinicial.jpg;With what culture/nation/national minority you connect the photo with;direct;attire;['Spain'];['Catalonia'];
2;https://upload.wikimedia.org/wikipedia/commons/e/ef/Andean_Man.jpg;With culture connected to what mountains attire of this man is connected to;direct;attire;['Colombia','Ecuador','Peru','Chile','Bolivia'];['Andes'];
3;https://upload.wikimedia.org/wikipedia/commons/3/31/Militsiya_and_orange_flowers%2C_Kiev.jpg;With what particular historical event is this photo connected with;direct;history;['Ukraine'];['Orange Revolution'];
4;https://commons.wikimedia.org/wiki/Category:Alexander_Nevsky_Cathedral,_Sofia#/media/File:AlexanderNevskyCathedral-Sofia-6.jpg/2;In honor of which historical figure was this builfing built?;indirect;history;['Bulgaria'];['Tsar Alexander II',' Alexander II'];
5;https://commons.wikimedia.org/wiki/Category:Avicii_Arena#/media/File:Globen_Stockholm_February_2007.jpg;In what city is this building located in?;direct;culture;['Sweden'];['Stockholm'];
6;https://upload.wikimedia.org/wikipedia/commons/0/00/Pierogi_a_Val%C3%A8ncia_%281%29.jpg;What is the name of this traditional dish of one of the central-european countries?;direct;food;['Poland'];['pierogi'];
7;https://upload.wikimedia.org/wikipedia/commons/7/72/Moroccan_food-02.jpg;What is the name of this traditional dish?;direct;food;['Marocco'];['Briouat''briwa','briwat'];
8;https://upload.wikimedia.org/wikipedia/commons/1/1e/Lovemrskush_-_Frejon_Recipe.png;What is the name of this traditional Nigerian soup?;direct;food;['Nigeria'];['frejon'];
9;https://upload.wikimedia.org/wikipedia/commons/a/ae/Flag_of_the_Yoruba_%28Oduduwa%29.svg;What is the name of the land/country/people being represented with this flag?;direct;culture;['Yoruba'];['Yoruba'];
10;https://upload.wikimedia.org/wikipedia/commons/5/57/IbejiTwins.jpg;What is the name of God(s) represented on the picture?;direct;religion;['Nigeria'];['Ibeji','Ibejí','Ibeyí','Jimaguas '];
11;https://upload.wikimedia.org/wikipedia/commons/5/5d/Kamakura_Budda_Daibutsu_front_1885.jpg;What is the name of figure represented by this monument?;direct;religion;['Japan'];['Buddha'];
12;https://upload.wikimedia.org/wikipedia/commons/2/2a/Greece-1166_%282216601574%29.jpg;What is the country which traditional dance is represented on the picture;direct;culture;['Greece'];['Greece'];
13;https://upload.wikimedia.org/wikipedia/commons/2/24/Calakmul_Structure_2.jpg;In what country does this building is being placed?;indirect;culture;['Mexico'];['Mexico'];
14;https://upload.wikimedia.org/wikipedia/commons/5/51/Chichen_Itza_3.jpg;In what country does this building is being placed?;indirect;culture;['Mexico'];['Mexico'];
15;https://upload.wikimedia.org/wikipedia/commons/c/c9/Full_English_breakfast_at_the_Chalet_Cafe%2C_Cowfold%2C_West_Sussex%2C_England.jpg;With what country usually such dish is connected with?;indirect;food;['Great Britain','England'];['Great Britain','England'];
16;https://upload.wikimedia.org/wikipedia/commons/b/bd/Didgeridoo-grass.jpg;What is the name of this traditional music instrument?;direct;culture;['Australia'];['Didgeridoo'];
17;https://upload.wikimedia.org/wikipedia/commons/e/e6/Petermann_Ranges_%28AU%29%2C_Uluru-Kata_Tjuta_National_Park%2C_Uluru_--_2019_--_3688.jpg;What is the ethnic group to which presented mountain is a holy place;indirect;culture;['Australia'];['Aborigines'];
18;https://upload.wikimedia.org/wikipedia/commons/1/1f/Nofretete_Neues_Museum.jpg;What is the name of the God represented by this bust?;direct;religion;['Egypt'];['Nefretiti'];
19;https://upload.wikimedia.org/wikipedia/commons/a/a6/Bookdead.jpg;With what country is this picture connected with?;direct;religion;['Egypt'];['Egypt'];
20;https://upload.wikimedia.org/wikipedia/commons/e/e6/Same_kimono_worn_at_3_and_6_years_old.jpg;What is the name of this traditional attire presented on the picture?;direct;culture;['Japan'];['Japan'];
