question,answer,category,language,source_type,source_url,base_pattern_source,methodology
What are the admission requirements for undergraduate programs?,"For undergraduate (B.Sc.) programs at Warsaw University of Technology (WUT), the general requirements include: (1) a high school diploma or equivalent certificate entitling you to undertake university courses in the country of issue, (2) at least around 70% GPA with very good grades in Math and Science subjects (you can apply with lower GPA but chances may be lower), (3) completion of online Placement Tests in Mathematics and English after document verification, and (4) for some programs, an entrance examination may be required. International students apply through the Online Application System at www.cwm.pw.edu.pl/apply.",Admissions,en,WUT_official_website,https://www.students.pw.edu.pl/How-to-Apply/Admission-to-B.Sc,University FAQ common patterns (admission datasets),"Question template from common university FAQ patterns, answer from WUT official sources"
What is the application deadline for Bachelor's programs?,"Application deadlines vary by year and are updated annually. Generally, the deadline to upload Admission Documents is announced on the WUT International Students Portal. It's recommended to check the official website at www.students.pw.edu.pl for the most current deadline information for the upcoming academic year.",Admissions,en,WUT_official_website,https://www.students.pw.edu.pl/How-to-Apply/Admission-to-B.Sc,University FAQ common patterns (admission datasets),"Question template from common university FAQ patterns, answer from WUT official sources"
What documents do I need to submit for admission?,"For admission to WUT, you need to submit Entry Documents through the Online Application System, including: (1) your high school certificate/diploma with transcript of records, (2) passport copy, (3) any additional documents specified for your chosen program. After initial verification, you may need to complete Placement Tests in Mathematics and English. All documents should be uploaded to the Online Application System at www.cwm.pw.edu.pl/apply.",Admissions,en,WUT_official_website,https://www.students.pw.edu.pl/How-to-Apply/Admission-to-B.Sc,University FAQ common patterns (admission datasets),"Question template from common university FAQ patterns, answer from WUT official sources"
What is the minimum GPA required for admission?,"Warsaw University of Technology generally requires at least around 70% GPA for admission to undergraduate programs, with very good grades in Math and Science subjects. However, you can apply with a lower GPA, though your chances of admission may be reduced. The exact requirements may vary by program and faculty.",Admissions,en,WUT_official_website,https://www.students.pw.edu.pl/How-to-Apply/Admission-to-B.Sc,University FAQ common patterns (admission datasets),"Question template from common university FAQ patterns, answer from WUT official sources"
Do I need to take an entrance exam?,"Yes, after your Entry Documents are verified, you will receive links to complete online Placement Tests in Mathematics and English. These tests help the Faculty assign you to an appropriate study path (regular program or Foundation Year). You have 1 week (7 days) from receiving the links to complete both tests, with 90 minutes allocated for each test. Some specific programs may also require additional entrance examinations.",Admissions,en,WUT_official_website,https://www.students.pw.edu.pl/How-to-Apply/Admission-to-B.Sc,University FAQ common patterns (admission datasets),"Question template from common university FAQ patterns, answer from WUT official sources"
How do I apply for a Master's program?,"For Master's (second-cycle) programs at WUT, you should register through the online application system. The specific requirements and procedures may vary by faculty and program. It's recommended to check the International Students Portal or contact the specific faculty for detailed application procedures and requirements for your chosen Master's program.",Admissions,en,WUT_official_website,https://www.students.pw.edu.pl/,University FAQ common patterns (admission datasets),"Question template from common university FAQ patterns, answer from WUT official sources"
Can international students apply for programs taught in English?,"Yes, international students can apply for English-taught programs at WUT. You should register through the English-language recruitment portal and choose one of the fields of study offered in English. After registration, you pay the application fee and follow the admission procedure. Some programs are offered in English while others are in Polish, so check the program language before applying.",Admissions,en,WUT_official_website,https://www.pw.plock.pl/eng/Candidates2/Offer-of-Courses/Regulations-for-Foreign-Students,University FAQ common patterns (admission datasets),"Question template from common university FAQ patterns, answer from WUT official sources"
What are the tuition fees for international students?,"Tuition fees at Warsaw University of Technology vary depending on the level of study (undergraduate, postgraduate, research), program of choice, and student nationality. For specific fee information for your chosen program, please contact the International Students Office or check the official WUT website at www.students.pw.edu.pl.",Admissions,en,WUT_official_website,https://www.meridean.org/poland/university/warsaw-university-of-technology,University FAQ common patterns (admission datasets),"Question template from common university FAQ patterns, answer from WUT official sources"
What scholarships are available for students?,"Warsaw University of Technology offers several types of scholarships: (1) Social scholarship for students whose income per family member does not exceed 1570.50 PLN, (2) Social scholarship in increased amount for special circumstances, (3) Scholarship for disabled persons (regardless of family income), (4) Rector's scholarship for students with high academic achievement (average grade 4.0 and above), scientific/artistic achievements, or competition winners, and (5) Financial aid for students in difficult life situations. International students may also apply for Erasmus+ scholarships and other government scholarships.",Scholarships,en,WUT_official_website,https://www.il.pw.edu.pl/wp-content/uploads/2024/10/Scholarship-Guide-2024-2025.pdf,University FAQ common patterns (admission datasets),"Question template from common university FAQ patterns, answer from WUT official sources"
How do I apply for a social scholarship?,"You can apply for a social scholarship at any time during the academic year through the USOSweb system. The scholarship will be granted from the following month, except during the Scholarship Campaign in October (deadline: 22nd October) and March (deadline: 14th March), which allows you to receive the scholarship from the first month of the semester. Applications are submitted electronically through USOSweb, and you need to provide documentation of family income and household composition.",Scholarships,en,WUT_official_website,https://www.il.pw.edu.pl/wp-content/uploads/2024/10/Scholarship-Guide-2024-2025.pdf,University FAQ common patterns (admission datasets),"Question template from common university FAQ patterns, answer from WUT official sources"
What is the Rector's scholarship?,"The Rector's scholarship may be granted to students who in the previous academic year (last 2 semesters) obtained a high average grade (4.0 and above), achieved high results in national or international competitions, or had significant scientific or artistic achievements. Newly-enrolled students who are winners of competitions may also qualify. The maximum scholarship amount is 4000 PLN. Applications are submitted through the USOSweb system.",Scholarships,en,WUT_official_website,https://www.il.pw.edu.pl/wp-content/uploads/2024/10/Scholarship-Guide-2024-2025.pdf,University FAQ common patterns (admission datasets),"Question template from common university FAQ patterns, answer from WUT official sources"
What is the deadline for scholarship applications?,"The main Scholarship Campaign deadline for the winter semester is 22nd October 2024. For the summer semester, the Scholarship Campaign deadline is 14th March 2025. However, you can apply for a social scholarship at any time during the academic year, though it will only be granted from the month following your application if submitted outside the Campaign periods.",Scholarships,en,WUT_official_website,https://www.il.pw.edu.pl/wp-content/uploads/2024/10/Scholarship-Guide-2024-2025.pdf,University FAQ common patterns (admission datasets),"Question template from common university FAQ patterns, answer from WUT official sources"
How much is the social scholarship per month?,"The social scholarship amount varies and is determined by the university based on available funds and the number of applicants. Students whose income per family member does not exceed 1570.50 PLN are eligible. The scholarship is granted for 10 months during the academic year, or 5 months if the final year of study is one semester. For specific monthly amounts, contact the Dean's Office or check the Scholarship Guide.",Scholarships,en,WUT_official_website,https://www.il.pw.edu.pl/wp-content/uploads/2024/10/Scholarship-Guide-2024-2025.pdf,University FAQ common patterns (admission datasets),"Question template from common university FAQ patterns, answer from WUT official sources"
Can I receive a scholarship for disabilities?,"Yes, a scholarship for disabled persons may be granted to students who have official confirmation specifying their degree of disability, regardless of family income. The scholarship can be received for a maximum of 9 semesters for first-cycle studies and 7 semesters for second-cycle studies. There is also a supplement for persons with disabilities amounting to PLN 1040.07. Applications are submitted through USOSweb.",Scholarships,en,WUT_official_website,https://www.il.pw.edu.pl/wp-content/uploads/2024/10/Scholarship-Guide-2024-2025.pdf,University FAQ common patterns (admission datasets),"Question template from common university FAQ patterns, answer from WUT official sources"
What are the income requirements for a social scholarship?,"To qualify for a social scholarship at WUT, the income per family member cannot exceed 1570.50 PLN. Family members include parents and siblings under 26 years of age (if they are students or pupils). Students who are financially independent (26 years or older, married, have dependent children, or have regular income of at least 1396 PLN monthly) do not need to prove their parents' income.",Scholarships,en,WUT_official_website,https://www.il.pw.edu.pl/wp-content/uploads/2024/10/Scholarship-Guide-2024-2025.pdf,University FAQ common patterns (admission datasets),"Question template from common university FAQ patterns, answer from WUT official sources"
When is the examination period?,"The examination periods at WUT are: (1) Winter examination period: begins on 2nd February 2026, (2) Summer examination period: begins on 17th June 2026 and ends on 30th June 2026, and (3) Autumn examination period: begins on 1st September 2026 and ends on 15th September 2026. The autumn period is only for retakes. Exact dates may vary slightly each academic year.",Exams,en,WUT_official_website,https://erasmus.pw.edu.pl/erasmusen/Incoming-Students/Academic-calendar,University FAQ common patterns (admission datasets),"Question template from common university FAQ patterns, answer from WUT official sources"
How many times can I retake an exam?,"If you fail an exam during the regular semester examination periods (winter or summer), you can retake it during the Autumn examination period in September/October. The specific rules for the number of retake attempts may vary by faculty and program. Contact your Faculty's Dean's Office for detailed information about retake policies for your program.",Exams,en,WUT_official_website,https://sspw.pl/wp-content/uploads/2024/10/Arrival_info_Pack_2024_WUT.pdf,University FAQ common patterns (admission datasets),"Question template from common university FAQ patterns, answer from WUT official sources"
What happens if I fail an exam?,"If you fail an exam during the regular semester examination period (winter or summer), you will need to retake it during the Autumn examination period in September/October. If you pass all exams in the semester examination periods, you do not need to be present at the university during the Autumn period. The Autumn examination period is specifically designed for retakes.",Exams,en,WUT_official_website,https://sspw.pl/wp-content/uploads/2024/10/Arrival_info_Pack_2024_WUT.pdf,University FAQ common patterns (admission datasets),"Question template from common university FAQ patterns, answer from WUT official sources"
How can I check my grades?,"You can check your grades through the USOSweb student system. USOSweb is the official online platform where you can see your schedule, exam dates, classroom allocation, and grades. There is also a mobile app called MyUSOSweb that you can download to browse your grades and schedule on your phone. You will receive access to USOSweb after your official admission.",Exams,en,WUT_official_website,https://bwz.uw.edu.pl/en/frequently-asked-questions/,University FAQ common patterns (admission datasets),"Question template from common university FAQ patterns, answer from WUT official sources"
Can I appeal my exam grade?,"Yes, appeals of decisions regarding academic matters, including exam grades, can be made in paper form to your Faculty's Dean's Office. The specific procedure for appealing grades may vary by faculty. Contact your Faculty's Vice Dean for Student Affairs or the Dean's Office for information about the appeals process and required documentation.",Exams,en,WUT_official_website,https://www.il.pw.edu.pl/wp-content/uploads/2024/10/Scholarship-Guide-2024-2025.pdf,University FAQ common patterns (admission datasets),"Question template from common university FAQ patterns, answer from WUT official sources"
What is the autumn examination period?,"The Autumn examination period runs from 1st September to 15th September and is specifically for retake exams. If you pass all your exams during the regular semester examination periods (winter and summer), you do not need to be present at WUT during this time. However, if you failed any exams, you must be present at the university in September/October to take the retakes.",Exams,en,WUT_official_website,https://erasmus.pw.edu.pl/erasmusen/Incoming-Students/Academic-calendar,University FAQ common patterns (admission datasets),"Question template from common university FAQ patterns, answer from WUT official sources"
When does the academic year start?,The academic year 2025/2026 at Warsaw University of Technology begins on 01.10.2025 (Wednesday) with the inauguration ceremony of the academic year. This date marks the official start of the new academic year.,Academic_Calendar,en,WUT_official_website,https://erasmus.pw.edu.pl/erasmusen/Incoming-Students/Academic-calendar,University FAQ common patterns (admission datasets),"Question template from common university FAQ patterns, answer from WUT official sources"
When does the winter semester begin?,"The winter semester classes begin on 02.10.2025 (Thursday). The winter semester runs until 01.02.2026 (Sunday), followed by the winter examination period which starts on 02.02.2026 (Monday).",Academic_Calendar,en,WUT_official_website,https://erasmus.pw.edu.pl/erasmusen/Incoming-Students/Academic-calendar,University FAQ common patterns (admission datasets),"Question template from common university FAQ patterns, answer from WUT official sources"
When is the winter break?,The winter break at WUT begins on 24.12.2025 (Wednesday) and ends on 06.01.2026 (Tuesday). This break occurs during the winter semester before the examination period.,Academic_Calendar,en,WUT_official_website,https://erasmus.pw.edu.pl/erasmusen/Incoming-Students/Academic-calendar,University FAQ common patterns (admission datasets),"Question template from common university FAQ patterns, answer from WUT official sources"
When does the summer semester start?,"The summer semester begins on 23.02.2026 (Monday), with classes starting on the same day. The summer semester continues until 16.06.2026 (Tuesday), after which the summer examination period begins.",Academic_Calendar,en,WUT_official_website,https://erasmus.pw.edu.pl/erasmusen/Incoming-Students/Academic-calendar,University FAQ common patterns (admission datasets),"Question template from common university FAQ patterns, answer from WUT official sources"
What are the holiday dates?,"The main holiday periods at WUT for 2025/2026 are: (1) Winter break: 24.12.2025 - 06.01.2026, (2) Spring break: 03.04.2026 - 07.04.2026, (3) Summer holidays: 01.07.2026 - 31.08.2026. There are also special days off including WUT Day (15.11.2025), Juwenalia in Warsaw (15.05.2026), and various public holidays throughout the year.",Academic_Calendar,en,WUT_official_website,https://erasmus.pw.edu.pl/erasmusen/Incoming-Students/Academic-calendar,University FAQ common patterns (admission datasets),"Question template from common university FAQ patterns, answer from WUT official sources"
